epoch: 1, train loss: 5.7369e-02, train psnr: 23.88
epoch: 2, train loss: 2.0213e-02, train psnr: 31.60
epoch: 3, train loss: 1.5437e-02, train psnr: 33.38
epoch: 4, train loss: 1.5866e-02, train psnr: 33.78
epoch: 5, train loss: 1.5414e-02, train psnr: 33.63
epoch: 5, val psnr: 35.15, val ssim: 0.8803
best epoch: 5, val psnr: 35.15, saved
epoch: 6, train loss: 1.4751e-02, train psnr: 33.91
epoch: 7, train loss: 1.3809e-02, train psnr: 34.27
epoch: 8, train loss: 1.4849e-02, train psnr: 34.27
epoch: 9, train loss: 1.2603e-02, train psnr: 35.42
epoch: 10, train loss: 1.3087e-02, train psnr: 35.20
epoch: 10, val psnr: 34.62, val ssim: 0.8760
epoch: 11, train loss: 1.2773e-02, train psnr: 35.18
epoch: 12, train loss: 1.2614e-02, train psnr: 35.14
epoch: 13, train loss: 1.1439e-02, train psnr: 35.77
epoch: 14, train loss: 1.1091e-02, train psnr: 35.84
epoch: 15, train loss: 1.2230e-02, train psnr: 35.11
epoch: 15, val psnr: 37.02, val ssim: 0.8943
best epoch: 15, val psnr: 37.02, saved
epoch: 16, train loss: 1.2504e-02, train psnr: 35.40
epoch: 17, train loss: 1.1154e-02, train psnr: 36.27
epoch: 18, train loss: 1.1123e-02, train psnr: 36.20
epoch: 19, train loss: 1.1584e-02, train psnr: 35.96
epoch: 20, train loss: 1.1277e-02, train psnr: 36.31
epoch: 20, val psnr: 36.91, val ssim: 0.9082
epoch: 21, train loss: 1.1124e-02, train psnr: 36.41
epoch: 22, train loss: 1.1493e-02, train psnr: 36.05
epoch: 23, train loss: 1.1490e-02, train psnr: 36.02
epoch: 24, train loss: 1.1714e-02, train psnr: 35.98
epoch: 25, train loss: 1.0442e-02, train psnr: 36.78
epoch: 25, val psnr: 38.07, val ssim: 0.9164
best epoch: 25, val psnr: 38.07, saved
epoch: 26, train loss: 1.0371e-02, train psnr: 36.66
epoch: 27, train loss: 1.1730e-02, train psnr: 35.86
epoch: 28, train loss: 1.0542e-02, train psnr: 36.96
epoch: 29, train loss: 1.1119e-02, train psnr: 36.16
epoch: 30, train loss: 1.0571e-02, train psnr: 36.50
epoch: 30, val psnr: 37.54, val ssim: 0.9098
epoch: 31, train loss: 1.0058e-02, train psnr: 36.99
epoch: 32, train loss: 9.8438e-03, train psnr: 37.10
epoch: 33, train loss: 1.0763e-02, train psnr: 36.35
epoch: 34, train loss: 1.0077e-02, train psnr: 37.15
epoch: 35, train loss: 1.0436e-02, train psnr: 36.68
epoch: 35, val psnr: 37.74, val ssim: 0.9096
epoch: 36, train loss: 1.0229e-02, train psnr: 37.02
epoch: 37, train loss: 1.0372e-02, train psnr: 36.86
epoch: 38, train loss: 9.5531e-03, train psnr: 37.57
