epoch: 1, train loss: 7.0303e-02, train psnr: 26.45
epoch: 2, train loss: 6.4273e-02, train psnr: 27.47
epoch: 3, train loss: 3.7268e-02, train psnr: 30.93
epoch: 4, train loss: 3.1883e-02, train psnr: 31.68
epoch: 5, train loss: 2.4709e-02, train psnr: 32.33
epoch: 5, val psnr: 32.63, val ssim: 0.6972
best epoch: 5, val psnr: 32.63, saved
epoch: 6, train loss: 2.3226e-02, train psnr: 32.66
epoch: 7, train loss: 1.9592e-02, train psnr: 33.58
epoch: 8, train loss: 1.7956e-02, train psnr: 34.15
epoch: 9, train loss: 1.5631e-02, train psnr: 34.77
epoch: 10, train loss: 1.4317e-02, train psnr: 35.30
epoch: 10, val psnr: 34.58, val ssim: 0.8030
best epoch: 10, val psnr: 34.58, saved
epoch: 11, train loss: 1.3512e-02, train psnr: 35.89
epoch: 12, train loss: 1.4162e-02, train psnr: 35.10
epoch: 13, train loss: 1.3946e-02, train psnr: 35.35
epoch: 14, train loss: 1.3043e-02, train psnr: 35.39
epoch: 15, train loss: 1.3330e-02, train psnr: 35.09
epoch: 15, val psnr: 36.14, val ssim: 0.8520
best epoch: 15, val psnr: 36.14, saved
epoch: 16, train loss: 1.3025e-02, train psnr: 35.38
epoch: 17, train loss: 1.1496e-02, train psnr: 36.36
epoch: 18, train loss: 1.1811e-02, train psnr: 36.41
epoch: 19, train loss: 1.1576e-02, train psnr: 36.37
epoch: 20, train loss: 1.1635e-02, train psnr: 36.57
epoch: 20, val psnr: 37.11, val ssim: 0.8945
best epoch: 20, val psnr: 37.11, saved
epoch: 21, train loss: 1.0203e-02, train psnr: 37.13
epoch: 22, train loss: 1.0787e-02, train psnr: 36.87
epoch: 23, train loss: 1.0688e-02, train psnr: 37.08
epoch: 24, train loss: 1.0557e-02, train psnr: 36.90
epoch: 25, train loss: 9.1625e-03, train psnr: 37.97
epoch: 25, val psnr: 38.25, val ssim: 0.9168
best epoch: 25, val psnr: 38.25, saved
epoch: 26, train loss: 1.0369e-02, train psnr: 37.20
epoch: 27, train loss: 1.0101e-02, train psnr: 37.21
epoch: 28, train loss: 9.5946e-03, train psnr: 37.81
epoch: 29, train loss: 1.0123e-02, train psnr: 37.47
epoch: 30, train loss: 8.6782e-03, train psnr: 38.19
epoch: 30, val psnr: 38.42, val ssim: 0.9124
best epoch: 30, val psnr: 38.42, saved
